"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:34:09 CST 2021","Tue Jan 05 15:34:12 CST 2021","3268","TestCase","test_01_test_camera04","TestCamera04","","","设备断开、连接",""
"passed","Tue Jan 05 15:21:57 CST 2021","Tue Jan 05 15:22:00 CST 2021","3350","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:25:48 CST 2021","Tue Jan 05 15:25:50 CST 2021","2294","TestCase","test_01_test_camera02","TestCamera02","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:34:19 CST 2021","Tue Jan 05 15:34:22 CST 2021","3282","TestCase","test_01_test_camera04","TestCamera04","","","设备断开、连接",""
"passed","Tue Jan 05 15:31:56 CST 2021","Tue Jan 05 15:31:58 CST 2021","2307","TestCase","test_01_test_camera04","TestCamera04","","","常亮、关闭",""
"passed","Tue Jan 05 15:27:12 CST 2021","Tue Jan 05 15:27:16 CST 2021","4193","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:26:00 CST 2021","Tue Jan 05 15:26:02 CST 2021","2328","TestCase","test_01_test_camera02","TestCamera02","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:35:46 CST 2021","Tue Jan 05 15:36:00 CST 2021","14140","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:36:51 CST 2021","Tue Jan 05 15:36:54 CST 2021","3172","TestCase","test_01_test_camera05","TestCamera05","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:36:21 CST 2021","Tue Jan 05 15:36:24 CST 2021","2281","TestCase","test_01_test_camera05","TestCamera05","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:25:45 CST 2021","Tue Jan 05 15:25:48 CST 2021","2280","TestCase","test_01_test_camera02","TestCamera02","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:21:46 CST 2021","Tue Jan 05 15:21:49 CST 2021","3294","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:34:58 CST 2021","Tue Jan 05 15:34:58 CST 2021","569","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:22:10 CST 2021","Tue Jan 05 15:22:13 CST 2021","3004","TestCase","test_01_test_camera","Testcamera01","","","设备连接、断开设备",""
"passed","Tue Jan 05 15:39:39 CST 2021","Tue Jan 05 15:39:54 CST 2021","15008","TestCase","test_01_test_camera05","TestCamera05","","","视频分辨率,倍数",""
"passed","Tue Jan 05 15:26:16 CST 2021","Tue Jan 05 15:26:20 CST 2021","3861","TestCase","test_01_test_camera02","TestCamera02","","","跟随、拍摄",""
"passed","Tue Jan 05 15:29:58 CST 2021","Tue Jan 05 15:30:01 CST 2021","3281","TestCase","test_01_test_camera03","TestCamera03","","","各种模式",""
"passed","Tue Jan 05 15:33:03 CST 2021","Tue Jan 05 15:33:06 CST 2021","3332","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"broken","Tue Jan 05 15:41:49 CST 2021","Tue Jan 05 15:42:11 CST 2021","22059","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:40:21 CST 2021","Tue Jan 05 15:40:24 CST 2021","2278","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:46:03 CST 2021","Tue Jan 05 15:46:08 CST 2021","5263","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:37:14 CST 2021","Tue Jan 05 15:37:18 CST 2021","3327","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:36:26 CST 2021","Tue Jan 05 15:36:28 CST 2021","2287","TestCase","test_01_test_camera05","TestCamera05","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:40:11 CST 2021","Tue Jan 05 15:40:13 CST 2021","2297","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:28:14 CST 2021","Tue Jan 05 15:28:17 CST 2021","3294","TestCase","test_01_test_camera02","TestCamera02","","","设备断开、连接",""
"passed","Tue Jan 05 15:33:32 CST 2021","Tue Jan 05 15:33:35 CST 2021","3268","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:32:05 CST 2021","Tue Jan 05 15:32:07 CST 2021","2285","TestCase","test_01_test_camera04","TestCamera04","","","常亮、关闭",""
"passed","Tue Jan 05 15:36:33 CST 2021","Tue Jan 05 15:36:36 CST 2021","2285","TestCase","test_01_test_camera05","TestCamera05","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:34:55 CST 2021","Tue Jan 05 15:34:56 CST 2021","694","TestCase","test_01_test_camera04","TestCamera04","","","视频分辨率",""
"passed","Tue Jan 05 15:18:03 CST 2021","Tue Jan 05 15:18:19 CST 2021","16452","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:36:12 CST 2021","Tue Jan 05 15:36:15 CST 2021","2270","TestCase","test_01_test_camera05","TestCamera05","","","常亮、关闭",""
"passed","Tue Jan 05 15:30:51 CST 2021","Tue Jan 05 15:30:55 CST 2021","3344","TestCase","test_01_test_camera03","TestCamera03","","","设备断开、连接",""
"passed","Tue Jan 05 15:36:45 CST 2021","Tue Jan 05 15:36:48 CST 2021","2865","TestCase","test_01_test_camera05","TestCamera05","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:29:41 CST 2021","Tue Jan 05 15:29:44 CST 2021","3157","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:24:01 CST 2021","Tue Jan 05 15:24:08 CST 2021","7015","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:24:08 CST 2021","Tue Jan 05 15:24:10 CST 2021","2312","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:27:51 CST 2021","Tue Jan 05 15:27:54 CST 2021","3010","TestCase","test_01_test_camera02","TestCamera02","","","设备断开、连接",""
"passed","Tue Jan 05 15:19:53 CST 2021","Tue Jan 05 15:19:55 CST 2021","2290","TestCase","test_01_test_camera","Testcamera01","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:16:49 CST 2021","Tue Jan 05 15:17:05 CST 2021","16066","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:44:14 CST 2021","Tue Jan 05 15:44:20 CST 2021","5275","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:19:07 CST 2021","Tue Jan 05 15:19:24 CST 2021","16399","TestCase","test_01_test_camera","Testcamera01","","","3、5、7、off",""
"passed","Tue Jan 05 15:34:56 CST 2021","Tue Jan 05 15:34:57 CST 2021","536","TestCase","test_01_test_camera04","TestCamera04","","","视频分辨率",""
